SERIALNO,OCCP,AGEP,SEX,RAC1P,HISP,SCHL,STATE,PUMA,ESR,WAGP,COW,WKHP
2019GQ0010903,9825.0,26,1,1,1,18.0,21,2200,4.0,42000.0,5.0,50.0
2019GQ0010943,,94,2,1,1,18.0,21,1706,6.0,0.0,,
2019GQ0010971,,60,2,1,1,16.0,21,300,6.0,0.0,,
2019GQ0011055,,78,2,1,1,16.0,21,600,6.0,0.0,,
2019GQ0011084,3255.0,54,2,2,1,20.0,21,1600,6.0,0.0,1.0,
2019GQ0011094,2360.0,19,2,1,1,19.0,21,100,1.0,2500.0,1.0,15.0
2019GQ0011301,,78,2,1,1,11.0,21,900,6.0,0.0,,
2019GQ0011312,4020.0,20,1,1,1,18.0,21,900,6.0,5000.0,4.0,40.0
2019GQ0011498,9130.0,51,1,1,1,19.0,21,1800,6.0,0.0,1.0,
2019GQ0011566,,88,2,1,1,13.0,21,1100,6.0,0.0,,
2019GQ0011579,,80,2,1,1,16.0,21,900,6.0,0.0,,
2019GQ0011606,,71,2,1,1,16.0,21,200,6.0,0.0,,
2019GQ0011651,,46,2,1,1,13.0,21,1701,6.0,0.0,,
2019GQ0011665,,94,2,1,1,20.0,21,100,6.0,0.0,,
2019GQ0011767,9130.0,40,1,1,1,16.0,21,1701,6.0,0.0,6.0,
2019GQ0011851,,18,1,1,1,18.0,21,2700,6.0,0.0,,
2019GQ0011868,,20,1,1,3,19.0,21,2800,6.0,0.0,,
2019GQ0011986,4600.0,18,2,1,1,16.0,21,600,6.0,1000.0,1.0,35.0
2019GQ0012023,4220.0,20,1,1,1,16.0,21,1901,1.0,70.0,1.0,10.0
2019GQ0012049,9620.0,38,1,2,1,14.0,21,1400,6.0,0.0,1.0,
2019GQ0012129,2350.0,20,2,1,1,16.0,21,2000,1.0,1800.0,4.0,6.0
2019GQ0012299,4251.0,19,1,1,1,16.0,21,2100,6.0,0.0,6.0,23.0
2019GQ0012548,2360.0,64,1,1,1,16.0,21,1800,6.0,0.0,1.0,
2019GQ0012549,4350.0,18,2,1,1,19.0,21,2300,6.0,2000.0,1.0,12.0
2019GQ0012666,,94,2,1,1,16.0,21,1704,6.0,0.0,,
2019GQ0012678,4760.0,18,2,9,1,19.0,21,1701,3.0,2100.0,1.0,20.0
2019GQ0012684,,55,1,1,1,17.0,21,1200,6.0,0.0,,
2019GQ0012694,,76,2,1,1,14.0,21,2100,6.0,0.0,,
2019GQ0012830,2006.0,39,1,1,1,14.0,21,1200,6.0,5800.0,2.0,30.0
2019GQ0012877,,88,2,1,1,16.0,21,2300,6.0,0.0,,
2019GQ0012884,4210.0,39,1,1,1,14.0,21,1400,6.0,0.0,1.0,
2019GQ0012945,,94,2,1,1,21.0,21,1703,6.0,0.0,,
2019GQ0012977,,16,2,2,1,12.0,21,1703,6.0,0.0,,
2019GQ0013044,9825.0,19,1,1,1,16.0,21,300,4.0,39800.0,5.0,75.0
2019GQ0013080,5240.0,18,2,9,1,16.0,21,1901,2.0,3000.0,1.0,25.0
2019GQ0013160,5240.0,21,1,1,1,16.0,21,2100,1.0,3000.0,1.0,20.0
2019GQ0013181,,32,2,2,1,18.0,21,2600,6.0,0.0,,
2019GQ0013196,9825.0,24,1,1,1,19.0,21,300,4.0,34000.0,5.0,61.0
2019GQ0013217,5610.0,25,1,1,3,16.0,21,1400,6.0,0.0,1.0,
2019GQ0013328,4110.0,31,2,1,1,19.0,21,1701,6.0,30000.0,1.0,45.0
2019GQ0013526,,49,2,1,1,12.0,21,1500,6.0,0.0,,
2019GQ0013632,4055.0,20,1,1,1,19.0,21,600,3.0,500.0,1.0,15.0
2019GQ0013641,,32,1,1,1,12.0,21,2300,6.0,0.0,,
2019GQ0013643,,15,1,2,1,12.0,21,1500,,0.0,,
2019GQ0013675,,54,1,1,1,19.0,21,1200,6.0,0.0,,
2019GQ0013679,3603.0,21,1,1,1,19.0,21,2200,1.0,5000.0,1.0,40.0
2019GQ0013832,5610.0,25,1,1,3,16.0,21,1100,6.0,0.0,1.0,
2019GQ0013837,4110.0,21,2,1,1,19.0,21,2200,1.0,14000.0,1.0,20.0
2019GQ0014168,2205.0,18,2,2,1,18.0,21,600,1.0,1500.0,2.0,30.0
2019GQ0014197,,72,1,1,1,6.0,21,1800,6.0,0.0,,
2019GQ0014216,,15,1,2,1,12.0,21,1300,,0.0,,
2019GQ0014306,,29,1,1,1,12.0,21,900,6.0,0.0,,
2019GQ0014310,,68,2,1,1,16.0,21,2100,6.0,0.0,,
2019GQ0014435,6260.0,31,1,1,1,17.0,21,300,6.0,18000.0,1.0,50.0
2019GQ0014440,4640.0,21,1,1,1,19.0,21,100,1.0,5000.0,1.0,20.0
2019GQ0014467,6230.0,54,1,1,1,16.0,21,100,6.0,0.0,1.0,
2019GQ0014526,,18,1,2,1,14.0,21,1400,6.0,0.0,,
2019GQ0014581,7210.0,51,1,1,1,14.0,21,2000,6.0,40000.0,1.0,40.0
2019GQ0014603,,85,2,1,1,11.0,21,2500,6.0,0.0,,
