education_required,mean_annual_wage,percent_change,occupation,job_type
Postsecondary nondegree award,38200.0,6.3519,292042,High-Demand
Postsecondary nondegree award,50520.0,6.2944,292043,Both
High school diploma or equivalent,38570.0,7.563,292052,High-Demand
Postsecondary nondegree award,37210.0,9.4527,292053,High-Demand
Postsecondary nondegree award,52440.0,5.9397,292055,Both
Associate degree,35370.0,20.0,292056,High-Demand
Postsecondary nondegree award,38250.0,12.7395,292057,High-Demand
Postsecondary nondegree award,55100.0,6.7245,292061,Both
Postsecondary nondegree award,46840.0,8.2519,292072,High-Demand
Master's degree,94890.0,20.4082,292091,Both
High school diploma or equivalent,54910.0,19.4969,292092,Both
Postsecondary nondegree award,59170.0,6.7562,292099,Both
Associate degree,60140.0,18.7198,299021,Both
Master's degree,53150.0,16.8986,299091,Both
Postsecondary nondegree award,76940.0,5.3045,299093,Both
Not reported,36610.0,14.2849,310000,High-Demand
High school diploma or equivalent,32740.0,23.8905,311120,High-Demand
Postsecondary nondegree award,35980.0,5.8948,311131,High-Demand
Associate degree,66760.0,19.5011,312011,Both
Associate degree,58990.0,24.6383,312021,Both
Postsecondary nondegree award,65000.0,17.1518,319011,Both
Postsecondary nondegree award,41090.0,6.6628,319091,High-Demand
Postsecondary nondegree award,37090.0,13.9931,319092,High-Demand
High school diploma or equivalent,42740.0,6.0373,319093,High-Demand
High school diploma or equivalent,33010.0,21.0755,319096,High-Demand
Postsecondary nondegree award,39020.0,7.6498,319097,High-Demand
High school diploma or equivalent,54000.0,-1.876,331011,High-Wage
High school diploma or equivalent,74820.0,4.4707,331012,High-Wage
Postsecondary nondegree award,65670.0,5.5249,331021,Both
High school diploma or equivalent,60900.0,4.7431,331099,High-Wage
Postsecondary nondegree award,38290.0,5.0077,332011,High-Demand
High school diploma or equivalent,78850.0,1.7991,333021,High-Wage
High school diploma or equivalent,51540.0,4.7151,333051,High-Wage
High school diploma or equivalent,37530.0,6.3158,339011,High-Demand
High school diploma or equivalent,49380.0,8.1784,339021,High-Demand
No formal educational credential,32490.0,9.8113,339091,High-Demand
No formal educational credential,26280.0,11.9896,339092,High-Demand
High school diploma or equivalent,50730.0,-4.0,339093,High-Wage
High school diploma or equivalent,41610.0,7.0288,339099,High-Demand
Not reported,28790.0,5.1364,350000,High-Demand
High school diploma or equivalent,47280.0,12.0073,351011,High-Demand
High school diploma or equivalent,37430.0,11.7521,351012,High-Demand
No formal educational credential,30880.0,29.4058,352014,High-Demand
No formal educational credential,29180.0,7.1429,352019,High-Demand
No formal educational credential,33140.0,8.5787,353011,High-Demand
No formal educational credential,25070.0,9.0612,353023,High-Demand
No formal educational credential,30470.0,7.2842,353041,High-Demand
No formal educational credential,28320.0,11.5614,359011,High-Demand
No formal educational credential,24640.0,7.6523,359031,High-Demand
No formal educational credential,27060.0,10.2473,359099,High-Demand
Not reported,33160.0,5.377,370000,High-Demand
High school diploma or equivalent,41710.0,6.622,371011,High-Demand
High school diploma or equivalent,50990.0,6.7079,371012,Both
No formal educational credential,34890.0,7.361,373011,High-Demand
High school diploma or equivalent,39480.0,6.7586,373013,High-Demand
Not reported,32550.0,5.9137,390000,High-Demand
High school diploma or equivalent,42430.0,7.762,391022,High-Demand
High school diploma or equivalent,42570.0,13.964,392011,High-Demand
High school diploma or equivalent,30270.0,11.0322,392021,High-Demand
No formal educational credential,23430.0,11.3413,393031,High-Demand
No formal educational credential,24270.0,8.8339,393091,High-Demand
High school diploma or equivalent,26610.0,6.8966,393093,High-Demand
Postsecondary nondegree award,36710.0,6.3291,395011,High-Demand
Postsecondary nondegree award,48700.0,6.8799,395012,High-Demand
Postsecondary nondegree award,55060.0,8.8608,395094,Both
High school diploma or equivalent,41000.0,13.6872,396011,High-Demand
High school diploma or equivalent,29820.0,9.9042,396012,High-Demand
High school diploma or equivalent,37410.0,7.8054,397010,High-Demand
High school diploma or equivalent,45660.0,18.1581,399031,High-Demand
High school diploma or equivalent,29580.0,6.4356,399032,High-Demand
High school diploma or equivalent,27960.0,7.8094,399041,High-Demand
High school diploma or equivalent,26830.0,9.322,399099,High-Demand
High school diploma or equivalent,85970.0,-0.4762,411012,High-Wage
High school diploma or equivalent,65080.0,6.6425,413021,Both
Bachelor's degree,92980.0,8.6177,413031,Both
High school diploma or equivalent,42610.0,6.8421,413041,High-Demand
High school diploma or equivalent,64850.0,5.2728,413091,Both
Bachelor's degree,100750.0,4.4776,414011,High-Wage
High school diploma or equivalent,73370.0,3.0533,414012,High-Wage
High school diploma or equivalent,72490.0,0.9223,419021,High-Wage
High school diploma or equivalent,52870.0,0.9554,419022,High-Wage
High school diploma or equivalent,50140.0,9.4157,419099,Both
High school diploma or equivalent,62570.0,-2.3204,431011,High-Wage
High school diploma or equivalent,50720.0,-16.347,433051,High-Wage
High school diploma or equivalent,52620.0,-8.453,434011,High-Wage
High school diploma or equivalent,26310.0,5.9914,434081,High-Demand
High school diploma or equivalent,54480.0,4.7038,434181,High-Wage
High school diploma or equivalent,48940.0,16.5822,435011,High-Demand
No formal educational credential,59320.0,-9.5668,435051,High-Wage
No formal educational credential,58430.0,-9.4961,435052,High-Wage
No formal educational credential,56250.0,-14.0257,435053,High-Wage
High school diploma or equivalent,55060.0,9.2593,435061,Both
High school diploma or equivalent,41590.0,7.5829,435111,High-Demand
High school diploma or equivalent,58740.0,-20.7351,436011,High-Wage
High school diploma or equivalent,37740.0,6.4839,436013,High-Demand
High school diploma or equivalent,53970.0,4.3257,451011,High-Wage
Bachelor's degree,50340.0,2.0408,452011,High-Wage
No formal educational credential,44080.0,9.3333,452091,High-Demand
Not reported,53650.0,3.3677,470000,High-Wage
High school diploma or equivalent,70200.0,3.1163,471011,High-Wage
High school diploma or equivalent,75170.0,-6.0606,472011,High-Wage
High school diploma or equivalent,55080.0,-0.3185,472021,High-Wage
High school diploma or equivalent,51660.0,2.8999,472031,High-Wage
No formal educational credential,41810.0,7.3394,472042,High-Demand
No formal educational credential,47020.0,8.5784,472044,High-Demand
No formal educational credential,43540.0,6.4646,472061,High-Demand
High school diploma or equivalent,57100.0,5.0368,472073,Both
High school diploma or equivalent,58610.0,6.6353,472111,Both
High school diploma or equivalent,54170.0,0.6303,472132,High-Wage
No formal educational credential,36810.0,9.0909,472142,High-Demand
No formal educational credential,63530.0,-3.3333,472151,High-Wage
High school diploma or equivalent,62540.0,2.4563,472152,High-Wage
High school diploma or equivalent,58770.0,3.4722,472171,High-Wage
High school diploma or equivalent,52790.0,-0.1021,472211,High-Wage
High school diploma or equivalent,64000.0,2.3843,472221,High-Wage
High school diploma or equivalent,58570.0,-1.0543,474011,High-Wage
High school diploma or equivalent,81580.0,0.8219,474021,High-Wage
High school diploma or equivalent,36330.0,9.7969,474051,High-Demand
High school diploma or equivalent,64420.0,0.6865,474061,High-Wage
High school diploma or equivalent,43640.0,5.3459,474071,High-Demand
High school diploma or equivalent,46680.0,11.4286,474090,High-Demand
High school diploma or equivalent,51360.0,-3.4735,475022,High-Wage
High school diploma or equivalent,53770.0,-4.1379,475023,High-Wage
High school diploma or equivalent,51390.0,-2.3041,475032,High-Wage
No formal educational credential,54490.0,0.722,475041,High-Wage
High school diploma or equivalent,55510.0,-29.4798,475043,High-Wage
No formal educational credential,60650.0,-17.5719,475044,High-Wage
No formal educational credential,53480.0,-13.986,475049,High-Wage
High school diploma or equivalent,56260.0,-21.0811,475081,High-Wage
Not reported,55400.0,6.7971,490000,Both
High school diploma or equivalent,74010.0,5.2872,491011,Both
Associate degree,57550.0,8.1967,492021,Both
Postsecondary nondegree award,63820.0,8.2649,492022,Both
Postsecondary nondegree award,59480.0,0.7062,492094,High-Wage
Postsecondary nondegree award,74740.0,-0.369,492095,High-Wage
High school diploma or equivalent,51330.0,6.7485,492098,Both
Postsecondary nondegree award,79450.0,9.7216,493011,Both
High school diploma or equivalent,51530.0,2.1794,493031,High-Wage
High school diploma or equivalent,45540.0,9.5462,493041,High-Demand
